Frequency (Hz)	Level (dB)
10077.539062	-28.926786
10120.605469	-28.742937
10163.671875	-28.909372
10206.738281	-28.972540
10249.804688	-29.200731
10292.871094	-29.196342
10335.937500	-29.241861
10379.003906	-29.000668
10422.070312	-29.345026
10465.136719	-28.776955
10508.203125	-29.142698
10551.269531	-29.409672
10594.335938	-29.503906
10637.402344	-29.566364
10680.468750	-29.343813
10723.535156	-29.019167
10766.601562	-29.377289
10809.667969	-29.114962
10852.734375	-28.781593
10895.800781	-28.996365
10938.867188	-29.223583
10981.933594	-29.566811
11025.000000	-28.986395
11068.066406	-28.567049
11111.132812	-29.125977
11154.199219	-29.472355
11197.265625	-29.370039
11240.332031	-29.301895
11283.398438	-28.963982
11326.464844	-28.951256
11369.531250	-29.063858
11412.597656	-29.095579
11455.664062	-29.284506
11498.730469	-29.280523
11541.796875	-28.986731
11584.863281	-29.085985
11627.929688	-29.459787
11670.996094	-29.206739
11714.062500	-29.447067
11757.128906	-29.695263
11800.195312	-29.634224
11843.261719	-29.150333
11886.328125	-29.191669
11929.394531	-29.324684
11972.460938	-28.896452
12015.527344	-28.792355
12058.593750	-29.260710
12101.660156	-29.722559
12144.726562	-29.851526
12187.792969	-29.550188
12230.859375	-29.389486
12273.925781	-30.162807
12316.992188	-29.701620
12360.058594	-29.442633
12403.125000	-30.068649
12446.191406	-29.806578
12489.257812	-29.865210
12532.324219	-29.718027
12575.390625	-29.062784
12618.457031	-29.083105
12661.523438	-29.064224
12704.589844	-29.114439
12747.656250	-29.115341
12790.722656	-29.771658
12833.789062	-29.645348
12876.855469	-29.263729
12919.921875	-29.162367
12962.988281	-29.683119
13006.054688	-29.463268
13049.121094	-29.537169
13092.187500	-29.490454
13135.253906	-29.470982
13178.320312	-30.213964
13221.386719	-29.881733
13264.453125	-29.564442
13307.519531	-29.426039
13350.585938	-29.263220
13393.652344	-29.032572
13436.718750	-29.043932
13479.785156	-29.477552
13522.851562	-29.650333
13565.917969	-29.942661
13608.984375	-30.081396
13652.050781	-30.085394
13695.117188	-29.689072
13738.183594	-29.282221
13781.250000	-29.465654
13824.316406	-29.101147
13867.382812	-28.984066
13910.449219	-29.727360
13953.515625	-29.351387
13996.582031	-29.220747
14039.648438	-29.546024
14082.714844	-29.785921
14125.781250	-29.660927
14168.847656	-29.547522
14211.914062	-30.165045
14254.980469	-30.157728
14298.046875	-29.827303
14341.113281	-30.103922
14384.179688	-30.214457
14427.246094	-29.854099
14470.312500	-29.328659
14513.378906	-29.694973
14556.445312	-29.969620
14599.511719	-29.327888
14642.578125	-29.230381
14685.644531	-29.751308
14728.710938	-30.114561
14771.777344	-29.892298
14814.843750	-30.225147
14857.910156	-29.885675
14900.976562	-29.930279
14944.042969	-29.771698
14987.109375	-29.631767
15030.175781	-29.665268
15073.242188	-30.388418
15116.308594	-29.921841
15159.375000	-29.194933
15202.441406	-30.002857
15245.507812	-29.786489
15288.574219	-29.524467
15331.640625	-29.887901
15374.707031	-28.759987
15417.773438	-28.433954
15460.839844	-29.161530
15503.906250	-29.697371
15546.972656	-30.148056
15590.039062	-30.136574
15633.105469	-29.629393
15676.171875	-29.611506
15719.238281	-29.426411
15762.304688	-30.054001
15805.371094	-30.102314
15848.437500	-30.100834
15891.503906	-29.896252
15934.570312	-29.917400
15977.636719	-29.740839
16020.703125	-29.477297
16063.769531	-29.384401
16106.835938	-29.496084
16149.902344	-29.947956
16192.968750	-29.837257
16236.035156	-29.479620
16279.101562	-29.913527
16322.167969	-29.128229
16365.234375	-29.165934
16408.300781	-29.298885
16451.367188	-28.884277
16494.433594	-29.958527
16537.500000	-29.774193
16580.566406	-29.883657
16623.632812	-29.913048
16666.699219	-30.138451
16709.765625	-29.867220
16752.832031	-29.843361
16795.898438	-29.933453
16838.964844	-29.737297
16882.031250	-30.108587
16925.097656	-30.485413
16968.164062	-30.450224
17011.230469	-30.324211
17054.296875	-29.794426
17097.363281	-28.876856
17140.429688	-29.241333
17183.496094	-29.204311
17226.562500	-29.857338
17269.628906	-30.264633
17312.695312	-29.911077
17355.761719	-29.441551
17398.828125	-29.355814
