Frequency (Hz)	Level (dB)
2939.282227	-126.121124
2950.048828	-127.626877
2960.815430	-125.965790
2971.582031	-124.593788
2982.348633	-127.880798
2993.115234	-126.707924
3003.881836	-125.989883
3014.648438	-128.315811
3025.415039	-125.360748
3036.181641	-124.856567
3046.948242	-127.711121
3057.714844	-125.396011
3068.481445	-124.744919
3079.248047	-127.417305
3090.014648	-128.641815
3100.781250	-128.155502
3111.547852	-128.050919
3122.314453	-127.769165
3133.081055	-127.330460
3143.847656	-127.270424
3154.614258	-125.844048
3165.380859	-126.913956
3176.147461	-127.319244
3186.914062	-126.129143
3197.680664	-127.436005
3208.447266	-128.405502
3219.213867	-126.073662
3229.980469	-127.718407
3240.747070	-127.690895
3251.513672	-126.271935
3262.280273	-129.460724
3273.046875	-127.544228
3283.813477	-125.782852
3294.580078	-128.506866
3305.346680	-128.025574
3316.113281	-127.693871
3326.879883	-129.348816
3337.646484	-127.577080
3348.413086	-126.574440
3359.179688	-128.075348
3369.946289	-127.141670
3380.712891	-127.437279
3391.479492	-128.891235
3402.246094	-126.754341
3413.012695	-127.014870
3423.779297	-129.514099
3434.545898	-127.792351
3445.312500	-128.149826
3456.079102	-129.089874
3466.845703	-126.288261
3477.612305	-126.668732
3488.378906	-127.433350
3499.145508	-126.879951
3509.912109	-128.028809
3520.678711	-127.037354
3531.445312	-127.116913
3542.211914	-128.079391
3552.978516	-128.432877
3563.745117	-127.349266
3574.511719	-128.666840
3585.278320	-127.428246
3596.044922	-125.388741
3606.811523	-127.791763
3617.578125	-128.396774
3628.344727	-127.401756
3639.111328	-128.596298
3649.877930	-127.008644
3660.644531	-128.589310
3671.411133	-127.975029
3682.177734	-126.612206
3692.944336	-127.155945
3703.710938	-126.916901
3714.477539	-126.762985
3725.244141	-125.588249
3736.010742	-126.460976
3746.777344	-125.561432
3757.543945	-124.013824
3768.310547	-124.634079
3779.077148	-123.135170
3789.843750	-121.865967
3800.610352	-121.689049
3811.376953	-119.681450
3822.143555	-118.502762
3832.910156	-117.628136
3843.676758	-115.536064
3854.443359	-113.710609
3865.209961	-112.024696
3875.976562	-109.495674
3886.743164	-107.407310
3897.509766	-104.781433
3908.276367	-101.757721
3919.042969	-98.598251
3929.809570	-94.781631
3940.576172	-90.375664
3951.342773	-85.027016
3962.109375	-78.221710
3972.875977	-68.774574
3983.642578	-52.304333
3994.409180	-37.995892
4005.175781	-37.741074
4015.942383	-51.150833
4026.708984	-68.260490
4037.475586	-77.876595
4048.242188	-84.762497
4059.008789	-90.170357
4069.775391	-94.610146
