Frequency (Hz)	Level (dB)
10077.539062	-44.427921
10120.605469	-45.842369
10163.671875	-43.867348
10206.738281	-43.066570
10249.804688	-44.853172
10292.871094	-45.558666
10335.937500	-43.452442
10379.003906	-43.149612
10422.070312	-45.116615
10465.136719	-45.253281
10508.203125	-43.200787
10551.269531	-43.206253
10594.335938	-45.225544
10637.402344	-45.040985
10680.468750	-43.059811
10723.535156	-43.186787
10766.601562	-45.203480
10809.667969	-44.960644
10852.734375	-42.999973
10895.800781	-43.078831
10938.867188	-45.057453
10981.933594	-45.016430
11025.000000	-43.020039
11068.066406	-42.898624
11111.132812	-44.771072
11154.199219	-45.185184
11197.265625	-43.144085
11240.332031	-42.690067
11283.398438	-44.327164
11326.464844	-45.385826
11369.531250	-43.414818
11412.597656	-42.524101
11455.664062	-43.746853
11498.730469	-45.434387
11541.796875	-43.881489
11584.863281	-42.490429
11627.929688	-43.117115
11670.996094	-45.092850
11714.062500	-44.542011
11757.128906	-42.685753
11800.195312	-42.586323
11843.261719	-44.299477
11886.328125	-45.163391
11929.394531	-43.212627
11972.460938	-42.317402
12015.527344	-43.304729
12058.593750	-45.162270
12101.660156	-44.122574
12144.726562	-42.446354
12187.792969	-42.505760
12230.859375	-44.238438
12273.925781	-45.032986
12316.992188	-43.115761
12360.058594	-42.184444
12403.125000	-42.988411
12446.191406	-44.898201
12489.257812	-44.325779
12532.324219	-42.490765
12575.390625	-42.201752
12618.457031	-43.560528
12661.523438	-45.055080
12704.589844	-43.602642
12747.656250	-42.166290
12790.722656	-42.336769
12833.789062	-44.036972
12876.855469	-44.884678
12919.921875	-43.071827
12962.988281	-42.005726
13006.054688	-42.483234
13049.121094	-44.322876
13092.187500	-44.632404
13135.253906	-42.738594
13178.320312	-41.915585
13221.386719	-42.567661
13264.453125	-44.427517
13307.519531	-44.442326
13350.585938	-42.559616
13393.652344	-41.845325
13436.718750	-42.547546
13479.785156	-44.391350
13522.851562	-44.369198
13565.917969	-42.506516
13608.984375	-41.777229
13652.050781	-42.412613
13695.117188	-44.227428
13738.183594	-44.413113
13781.250000	-42.580059
13824.316406	-41.719078
13867.382812	-42.182453
13910.449219	-43.912399
13953.515625	-44.526295
13996.582031	-42.806740
14039.648438	-41.701508
14082.714844	-41.905766
14125.781250	-43.421581
14168.847656	-44.594212
14211.914062	-43.214443
14254.980469	-41.781944
14298.046875	-41.653198
14341.113281	-42.786816
14384.179688	-44.421364
14427.246094	-43.773525
14470.312500	-42.057285
14513.378906	-41.498188
14556.445312	-42.125679
14599.511719	-43.831234
14642.578125	-44.300697
14685.644531	-42.635639
14728.710938	-41.518593
14771.777344	-41.607269
14814.843750	-42.902164
14857.910156	-44.364880
14900.976562	-43.490349
14944.042969	-41.865173
14987.109375	-41.356262
15030.175781	-41.965111
15073.242188	-43.603081
15116.308594	-44.242119
15159.375000	-42.695835
15202.441406	-41.456669
15245.507812	-41.370598
15288.574219	-42.405277
15331.640625	-44.021568
15374.707031	-43.799213
15417.773438	-42.133617
15460.839844	-41.254154
15503.906250	-41.460846
15546.972656	-42.763748
15590.039062	-44.163834
15633.105469	-43.369064
15676.171875	-41.784061
15719.238281	-41.143448
15762.304688	-41.543659
