Frequency (Hz)	Level (dB)
10077.539062	-35.214691
10120.605469	-35.927040
10163.671875	-37.942822
10206.738281	-36.626526
10249.804688	-35.180317
10292.871094	-36.417633
10335.937500	-38.091961
10379.003906	-36.317963
10422.070312	-35.263966
10465.136719	-36.789066
10508.203125	-38.122223
10551.269531	-36.172462
10594.335938	-35.372173
10637.402344	-37.016602
10680.468750	-38.155830
10723.535156	-36.163620
10766.601562	-35.455658
10809.667969	-37.096626
10852.734375	-38.247929
10895.800781	-36.274994
10938.867188	-35.504478
10981.933594	-37.030529
11025.000000	-38.390903
11068.066406	-36.509624
11111.132812	-35.541439
11154.199219	-36.826481
11197.265625	-38.513485
11240.332031	-36.888103
11283.398438	-35.616451
11326.464844	-36.514561
11369.531250	-38.480255
11412.597656	-37.432003
11455.664062	-35.799095
11498.730469	-36.164989
11541.796875	-38.153526
11584.863281	-38.105976
11627.929688	-36.170544
11670.996094	-35.891014
11714.062500	-37.523258
11757.128906	-38.681583
11800.195312	-36.818409
11843.261719	-35.825520
11886.328125	-36.768532
11929.394531	-38.699116
11972.460938	-37.778210
12015.527344	-36.093479
12058.593750	-36.172810
12101.660156	-37.952183
12144.726562	-38.736427
12187.792969	-36.825279
12230.859375	-35.971821
12273.925781	-36.900856
12316.992188	-38.818970
12360.058594	-38.053970
12403.125000	-36.314812
12446.191406	-36.201111
12489.257812	-37.752232
12532.324219	-39.032848
12575.390625	-37.374065
12618.457031	-36.158035
12661.523438	-36.591236
12704.589844	-38.468769
12747.656250	-38.836418
12790.722656	-36.939053
12833.789062	-36.188576
12876.855469	-37.012783
12919.921875	-38.923576
12962.988281	-38.560093
13006.054688	-36.727180
13049.121094	-36.291008
13092.187500	-37.367725
13135.253906	-39.163975
13178.320312	-38.376736
13221.386719	-36.663845
13264.453125	-36.397934
13307.519531	-37.594944
13350.585938	-39.288815
13393.652344	-38.343620
13436.718750	-36.696613
13479.785156	-36.476406
13522.851562	-37.670662
13565.917969	-39.354576
13608.984375	-38.469864
13652.050781	-36.807220
13695.117188	-36.522060
13738.183594	-37.597404
13781.250000	-39.352734
13824.316406	-38.745895
13867.382812	-37.009983
13910.449219	-36.555077
13953.515625	-37.401264
13996.582031	-39.218472
14039.648438	-39.133804
14082.714844	-37.349430
14125.781250	-36.614796
14168.847656	-37.139423
14211.914062	-38.872646
14254.980469	-39.528641
14298.046875	-37.884754
14341.113281	-36.759434
14384.179688	-36.900276
14427.246094	-38.309109
14470.312500	-39.709587
14513.378906	-38.630268
14556.445312	-37.087196
14599.511719	-36.778244
14642.578125	-37.654850
14685.644531	-39.398449
14728.710938	-39.441635
14771.777344	-37.736855
14814.843750	-36.848438
14857.910156	-37.126740
14900.976562	-38.592648
14944.042969	-39.869183
14987.109375	-38.740204
15030.175781	-37.244747
15073.242188	-36.903450
15116.308594	-37.675426
15159.375000	-39.362358
15202.441406	-39.758419
15245.507812	-38.163685
15288.574219	-37.063240
15331.640625	-37.094738
15374.707031	-38.245716
15417.773438	-39.835499
15460.839844	-39.447922
15503.906250	-37.820965
15546.972656	-37.042198
15590.039062	-37.331913
15633.105469	-38.699913
15676.171875	-40.062309
15719.238281	-39.203812
15762.304688	-37.669167
15805.371094	-37.087517
15848.437500	-37.537052
15891.503906	-38.990177
15934.570312	-40.165901
15977.636719	-39.109016
16020.703125	-37.652321
16063.769531	-37.151974
16106.835938	-37.659710
16149.902344	-39.114250
16192.968750	-40.238861
16236.035156	-39.174934
16279.101562	-37.740322
16322.167969	-37.218117
16365.234375	-37.685104
16408.300781	-39.077492
16451.367188	-40.296780
16494.433594	-39.397758
16537.500000	-37.933578
16580.566406	-37.294899
16623.632812	-37.628601
16666.699219	-38.886753
16709.765625	-40.279579
16752.832031	-39.762508
16795.898438	-38.255386
16838.964844	-37.418999
16882.031250	-37.530384
16925.097656	-38.568180
16968.164062	-40.081657
17011.230469	-40.200573
17054.296875	-38.740971
17097.363281	-37.654301
17140.429688	-37.453892
17183.496094	-38.184006
17226.562500	-39.626553
17269.628906	-40.510342
17312.695312	-39.420330
17355.761719	-38.078129
17398.828125	-37.490154
17441.894531	-37.821938
17484.960938	-38.975555
17528.027344	-40.388630
17571.093750	-40.205242
17614.160156	-38.754501
17657.226562	-37.759430
17700.292969	-37.594627
17743.359375	-38.319973
17786.425781	-39.705540
17829.492188	-40.652012
17872.558594	-39.719044
17915.625000	-38.362614
17958.691406	-37.659904
18001.757812	-37.824863
18044.824219	-38.793716
18087.890625	-40.233879
18130.957031	-40.619499
18174.023438	-39.357338
18217.089844	-38.171974
18260.156250	-37.680340
18303.222656	-38.063488
18346.289062	-39.164711
18389.355469	-40.538658
18432.421875	-40.532890
18475.488281	-39.179321
18518.554688	-38.114391
18561.621094	-37.747082
18604.687500	-38.239117
18647.753906	-39.392277
18690.820312	-40.691055
18733.886719	-40.520786
18776.953125	-39.166130
18820.019531	-38.150864
18863.085938	-37.816471
18906.152344	-38.322647
18949.218750	-39.462048
18992.285156	-40.745068
19035.351562	-40.623047
19078.417969	-39.302753
19121.484375	-38.268707
19164.550781	-37.878910
19207.617188	-38.313656
19250.683594	-39.378521
19293.750000	-40.694859
19336.816406	-40.821499
19379.882812	-39.592842
19422.949219	-38.481098
19466.015625	-37.968922
19509.082031	-38.276291
19552.148438	-39.366394
19595.214844	-41.460129
19638.281250	-44.769772
19681.347656	-49.225342
19724.414062	-54.570499
19767.480469	-60.491524
19810.546875	-66.677612
19853.613281	-72.845726
19896.679688	-78.764313
19939.746094	-84.250198
19982.812500	-89.247086

